Model,Accuracy,Precision,Recall,F1,FPR,DR,TP,FP,TN,FN
SVM,0.9420289855072463,0.9747899159663865,0.8992248062015504,0.9354838709677419,0.02040816326530612,0.8992248062015504,116,3,144,13
XGBOOST,0.9094202898550725,0.9642857142857143,0.8372093023255814,0.8962655601659751,0.027210884353741496,0.8372093023255814,108,4,143,21
LIGHTGBM,0.8985507246376812,0.9719626168224299,0.8062015503875969,0.8813559322033898,0.02040816326530612,0.8062015503875969,104,3,144,25
MLP,0.9202898550724637,0.9147286821705426,0.9147286821705426,0.9147286821705426,0.07482993197278912,0.9147286821705426,118,11,136,11
