TP,FP,TN,FN,Accuracy,Precision,Recall,F1,AUC,Specificity,FPR,Model
116,3,144,13,0.9420289855072463,0.9747899159663865,0.8992248062015504,0.9354838709677419,0.975689500606444,0.9795918367346939,0.02040816326530612,SVM
99,5,142,30,0.8731884057971014,0.9519230769230769,0.7674418604651163,0.8497854077253219,0.9408321468122134,0.9659863945578231,0.034013605442176874,RandomForest
108,4,143,21,0.9094202898550725,0.9642857142857143,0.8372093023255814,0.8962655601659751,0.9554922744291515,0.9727891156462585,0.027210884353741496,XGBoost
104,3,144,25,0.8985507246376812,0.9719626168224299,0.8062015503875969,0.8813559322033898,0.9572325054052628,0.9795918367346939,0.02040816326530612,LightGBM
115,7,140,14,0.9239130434782609,0.9426229508196722,0.8914728682170543,0.9163346613545816,0.9685176396139851,0.9523809523809523,0.047619047619047616,MLP_sklearn
113,6,141,16,0.9202898550724637,0.9495798319327731,0.875968992248062,0.9112903225806451,0.969888730686073,0.9591836734693877,0.04081632653061224,MLP_torch
110,6,141,19,0.9094202898550725,0.9482758620689655,0.8527131782945736,0.8979591836734694,0.9357169224278858,0.9591836734693877,0.04081632653061224,TabNet
