Algorithm,Accuracy,Precision,Recall,F1,Specificity,FPR,Balanced Accuracy,MCC,PSR,Defense Effectiveness
Stacking Ensemble,0.9592391304347826,0.9698795180722891,0.9415204678362573,0.9554896142433235,0.9746192893401016,0.025380710659898477,0.9580698785881794,0.9182547211158287,0.05847953216374269,0.9415204678362573
Calibrated SVM,0.9592391304347826,0.9875,0.9239766081871345,0.9546827794561934,0.9898477157360406,0.01015228426395939,0.9569121619615875,0.9193951814257768,0.07602339181286549,0.9239766081871346
Cost-Sensitive SVM,0.9592391304347826,0.9936708860759493,0.9181286549707602,0.9544072948328267,0.9949238578680203,0.005076142131979695,0.9565262564193903,0.9200019195326701,0.08187134502923976,0.9181286549707602
MLP,0.9565217391304348,0.9532163742690059,0.9532163742690059,0.9532163742690059,0.9593908629441624,0.04060913705583756,0.9563036186065841,0.9126072372131683,0.04678362573099415,0.9532163742690059
Logistic Regression,0.9402173913043478,0.930635838150289,0.9415204678362573,0.936046511627907,0.9390862944162437,0.06091370558375635,0.9403033811262504,0.8799800515514626,0.05847953216374269,0.9415204678362573
BLS,0.6141304347826086,0.5767195767195767,0.6374269005847953,0.6055555555555555,0.5939086294416244,0.40609137055837563,0.6156677650132099,0.2308426708140311,0.36257309941520466,0.6374269005847953
